state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
MN,All,MNAll,2,0.94,0.94,1,1,0.94,0.94
NH,All,NHAll,10,1,1,1,1,1,1
IA,All,IAAll,8,0.99,0.99,1,1,0.99,0.99
VT,All,VTAll,7,0.97,0.97,1,1,0.97,0.97
MD,All,MDAll,7,0.97,0.97,1,1,0.97,0.97
GA,All,GAAll,4,0.97,0.97,1,1,0.97,0.97
MS,All,MSAll,3,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,3,0.94,0.94,1,1,0.94,0.94
TN,All,TNAll,9,0.99,0.99,1,1,0.99,0.99
WV,All,WVAll,3,0.94,0.94,1,1,0.94,0.94
AL,All,ALAll,10,1,1,1,1,1,1
VA,All,VAAll,5,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,3,0.94,0.94,1,1,0.94,0.94
MT,All,MTAll,9,0.99,0.99,1,1,0.99,0.99
CT,All,CTAll,2,0.94,0.94,1,1,0.94,0.94
NJ,All,NJAll,5,0.97,0.97,1,1,0.97,0.97
ME,All,MEAll,9,0.99,0.99,1,1,0.99,0.99
SC,All,SCAll,3,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,4,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,1,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,10,1,1,1,1,1,1
AL,All,ALAll,3,0.94,0.94,1,1,0.94,0.94
TX,All,TXAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,1,0.94,0.94,1,1,0.94,0.94
WA,All,WAAll,4,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,2,0.94,0.94,1,1,0.94,0.94
IA,All,IAAll,Ungraded,1,1,1,1,1,1
CO,All,COAll,4,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,6,0.97,0.97,1,1,0.97,0.97
UT,All,UTAll,9,0.99,0.99,1,1,0.99,0.99
KY,All,KYAll,8,0.99,0.99,1,1,0.99,0.99
NJ,All,NJAll,10,1,1,1,1,1,1
NY,All,NYAll,3,0.94,0.94,1,1,0.94,0.94
KS,All,KSAll,1,0.94,0.94,1,1,0.94,0.94
MT,All,MTAll,Ungraded,1,1,1,1,1,1
OR,All,ORAll,6,0.97,0.97,1,1,0.97,0.97
LA,All,LAAll,8,0.99,0.99,1,1,0.99,0.99
MA,All,MAAll,3,0.94,0.94,1,1,0.94,0.94
TX,All,TXAll,6,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,1,0.94,0.94,1,1,0.94,0.94
SC,All,SCAll,1,0.94,0.94,1,1,0.94,0.94
VA,All,VAAll,Ungraded,1,1,1,1,1,1
IN,All,INAll,2,0.94,0.94,1,1,0.94,0.94
SC,All,SCAll,2,0.94,0.94,1,1,0.94,0.94
MA,All,MAAll,2,0.94,0.94,1,1,0.94,0.94
WI,All,WIAll,9,0.99,0.99,1,1,0.99,0.99
CO,All,COAll,10,1,1,1,1,1,1
HI,All,HIAll,Ungraded,1,1,1,1,1,1
AR,All,ARAll,7,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,1,0.94,0.94,1,1,0.94,0.94
UT,All,UTAll,4,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,6,0.97,0.97,1,1,0.97,0.97
HI,All,HIAll,6,0.97,0.97,1,1,0.97,0.97
NV,All,NVAll,7,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,3,0.94,0.94,1,1,0.94,0.94
DE,All,DEAll,9,0.99,0.99,1,1,0.99,0.99
NC,All,NCAll,7,0.97,0.97,1,1,0.97,0.97
NE,All,NEAll,2,0.94,0.94,1,1,0.94,0.94
OR,All,ORAll,4,0.97,0.97,1,1,0.97,0.97
NE,All,NEAll,6,0.97,0.97,1,1,0.97,0.97
OK,All,OKAll,1,0.94,0.94,1,1,0.94,0.94
NH,All,NHAll,6,0.97,0.97,1,1,0.97,0.97
AR,All,ARAll,1,0.94,0.94,1,1,0.94,0.94
MA,All,MAAll,10,1,1,1,1,1,1
NC,All,NCAll,1,0.94,0.94,1,1,0.94,0.94
CO,All,COAll,Ungraded,1,1,1,1,1,1
MT,All,MTAll,6,0.97,0.97,1,1,0.97,0.97
UT,All,UTAll,7,0.97,0.97,1,1,0.97,0.97
WY,All,WYAll,4,0.97,0.97,1,1,0.97,0.97
FL,All,FLAll,7,0.97,0.97,1,1,0.97,0.97
NE,All,NEAll,5,0.97,0.97,1,1,0.97,0.97
ND,All,NDAll,10,1,1,1,1,1,1
NV,All,NVAll,8,0.99,0.99,1,1,0.99,0.99
OR,All,ORAll,Ungraded,1,1,1,1,1,1
DE,All,DEAll,4,0.97,0.97,1,1,0.97,0.97
IN,All,INAll,4,0.97,0.97,1,1,0.97,0.97
FL,All,FLAll,4,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,1,0.94,0.94,1,1,0.94,0.94
MD,All,MDAll,2,0.94,0.94,1,1,0.94,0.94
SC,All,SCAll,6,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,10,1,1,1,1,1,1
KS,All,KSAll,10,1,1,1,1,1,1
AK,All,AKAll,Ungraded,1,1,1,1,1,1
GA,All,GAAll,3,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,2,0.94,0.94,1,1,0.94,0.94
AL,All,ALAll,5,0.97,0.97,1,1,0.97,0.97
VA,All,VAAll,8,0.99,0.99,1,1,0.99,0.99
TX,All,TXAll,7,0.97,0.97,1,1,0.97,0.97
ME,All,MEAll,2,0.94,0.94,1,1,0.94,0.94
AZ,All,AZAll,1,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,4,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,3,0.94,0.94,1,1,0.94,0.94
WA,All,WAAll,8,0.99,0.99,1,1,0.99,0.99
AK,All,AKAll,8,0.99,0.99,1,1,0.99,0.99
