state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
VA,All,VAAll,7,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,Ungraded,1,1,1,1,1,1
KS,All,KSAll,7,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,9,0.99,0.99,1,1,0.99,0.99
ME,All,MEAll,1,0.94,0.94,1,1,0.94,0.94
CO,All,COAll,1,0.94,0.94,1,1,0.94,0.94
DC,All,DCAll,1,0.94,0.94,1,1,0.94,0.94
VT,All,VTAll,Ungraded,1,1,1,1,1,1
SD,All,SDAll,4,0.97,0.97,1,1,0.97,0.97
MN,All,MNAll,6,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,9,0.99,0.99,1,1,0.99,0.99
WI,All,WIAll,5,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,8,0.99,0.99,1,1,0.99,0.99
ID,All,IDAll,2,0.94,0.94,1,1,0.94,0.94
OK,All,OKAll,10,1,1,1,1,1,1
MN,All,MNAll,1,0.94,0.94,1,1,0.94,0.94
FL,All,FLAll,2,0.94,0.94,1,1,0.94,0.94
DC,All,DCAll,9,0.99,0.99,1,1,0.99,0.99
IL,All,ILAll,7,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,8,0.99,0.99,1,1,0.99,0.99
DE,All,DEAll,7,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,3,0.94,0.94,1,1,0.94,0.94
KS,All,KSAll,5,0.97,0.97,1,1,0.97,0.97
LA,All,LAAll,5,0.97,0.97,1,1,0.97,0.97
AR,All,ARAll,3,0.94,0.94,1,1,0.94,0.94
OR,All,ORAll,2,0.94,0.94,1,1,0.94,0.94
OH,All,OHAll,Ungraded,1,1,1,1,1,1
AK,All,AKAll,5,0.97,0.97,1,1,0.97,0.97
MS,All,MSAll,1,0.94,0.94,1,1,0.94,0.94
OK,All,OKAll,5,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,7,0.97,0.97,1,1,0.97,0.97
OK,All,OKAll,6,0.97,0.97,1,1,0.97,0.97
TX,All,TXAll,1,0.94,0.94,1,1,0.94,0.94
CO,All,COAll,8,0.99,0.99,1,1,0.99,0.99
NE,All,NEAll,10,1,1,1,1,1,1
UT,All,UTAll,10,1,1,1,1,1,1
LA,All,LAAll,9,0.99,0.99,1,1,0.99,0.99
NE,All,NEAll,3,0.94,0.94,1,1,0.94,0.94
UT,All,UTAll,6,0.97,0.97,1,1,0.97,0.97
NE,All,NEAll,8,0.99,0.99,1,1,0.99,0.99
RI,All,RIAll,9,0.99,0.99,1,1,0.99,0.99
CO,All,COAll,2,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,5,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,3,0.94,0.94,1,1,0.94,0.94
AR,All,ARAll,10,1,1,1,1,1,1
MO,All,MOAll,5,0.97,0.97,1,1,0.97,0.97
VA,All,VAAll,4,0.97,0.97,1,1,0.97,0.97
NJ,All,NJAll,8,0.99,0.99,1,1,0.99,0.99
VA,All,VAAll,1,0.94,0.94,1,1,0.94,0.94
DC,All,DCAll,6,0.97,0.97,1,1,0.97,0.97
ME,All,MEAll,3,0.94,0.94,1,1,0.94,0.94
WV,All,WVAll,1,0.94,0.94,1,1,0.94,0.94
UT,All,UTAll,3,0.94,0.94,1,1,0.94,0.94
MD,All,MDAll,10,1,1,1,1,1,1
MO,All,MOAll,2,0.94,0.94,1,1,0.94,0.94
CO,All,COAll,7,0.97,0.97,1,1,0.97,0.97
NH,All,NHAll,Ungraded,1,1,1,1,1,1
AR,All,ARAll,2,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,3,0.94,0.94,1,1,0.94,0.94
VA,All,VAAll,3,0.94,0.94,1,1,0.94,0.94
UT,All,UTAll,2,0.94,0.94,1,1,0.94,0.94
CO,All,COAll,9,0.99,0.99,1,1,0.99,0.99
VA,All,VAAll,10,1,1,1,1,1,1
AR,All,ARAll,8,0.99,0.99,1,1,0.99,0.99
MA,All,MAAll,Ungraded,1,1,1,1,1,1
AL,All,ALAll,8,0.99,0.99,1,1,0.99,0.99
CT,All,CTAll,9,0.99,0.99,1,1,0.99,0.99
WV,All,WVAll,7,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,1,0.94,0.94,1,1,0.94,0.94
FL,All,FLAll,6,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,10,1,1,1,1,1,1
DE,All,DEAll,10,1,1,1,1,1,1
NM,All,NMAll,7,0.97,0.97,1,1,0.97,0.97
TN,All,TNAll,2,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,7,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,5,0.97,0.97,1,1,0.97,0.97
DC,All,DCAll,5,0.97,0.97,1,1,0.97,0.97
WV,All,WVAll,4,0.97,0.97,1,1,0.97,0.97
NC,All,NCAll,5,0.97,0.97,1,1,0.97,0.97
MN,All,MNAll,Ungraded,1,1,1,1,1,1
MD,All,MDAll,1,0.94,0.94,1,1,0.94,0.94
HI,All,HIAll,4,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,10,1,1,1,1,1,1
GA,All,GAAll,7,0.97,0.97,1,1,0.97,0.97
LA,All,LAAll,7,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,3,0.94,0.94,1,1,0.94,0.94
DE,All,DEAll,2,0.94,0.94,1,1,0.94,0.94
WI,All,WIAll,3,0.94,0.94,1,1,0.94,0.94
ME,All,MEAll,Ungraded,1,1,1,1,1,1
NY,All,NYAll,8,0.99,0.99,1,1,0.99,0.99
NE,All,NEAll,4,0.97,0.97,1,1,0.97,0.97
AL,All,ALAll,2,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,8,0.99,0.99,1,1,0.99,0.99
MS,All,MSAll,4,0.97,0.97,1,1,0.97,0.97
AL,All,ALAll,6,0.97,0.97,1,1,0.97,0.97
WY,All,WYAll,5,0.97,0.97,1,1,0.97,0.97
KS,All,KSAll,8,0.99,0.99,1,1,0.99,0.99
NC,All,NCAll,8,0.99,0.99,1,1,0.99,0.99
TN,All,TNAll,5,0.97,0.97,1,1,0.97,0.97
UT,All,UTAll,5,0.97,0.97,1,1,0.97,0.97
ND,All,NDAll,2,0.94,0.94,1,1,0.94,0.94
MN,All,MNAll,3,0.94,0.94,1,1,0.94,0.94
AZ,All,AZAll,8,0.99,0.99,1,1,0.99,0.99
WV,All,WVAll,6,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,2,0.94,0.94,1,1,0.94,0.94
WY,All,WYAll,10,1,1,1,1,1,1
IL,All,ILAll,10,1,1,1,1,1,1
SC,All,SCAll,8,0.99,0.99,1,1,0.99,0.99
SC,All,SCAll,9,0.99,0.99,1,1,0.99,0.99
MD,All,MDAll,4,0.97,0.97,1,1,0.97,0.97
HI,All,HIAll,2,0.94,0.94,1,1,0.94,0.94
MA,All,MAAll,7,0.97,0.97,1,1,0.97,0.97
WV,All,WVAll,8,0.99,0.99,1,1,0.99,0.99
IL,All,ILAll,6,0.97,0.97,1,1,0.97,0.97
IA,All,IAAll,3,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,3,0.94,0.94,1,1,0.94,0.94
IA,All,IAAll,10,1,1,1,1,1,1
AL,All,ALAll,4,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,10,1,1,1,1,1,1
IA,All,IAAll,5,0.97,0.97,1,1,0.97,0.97
