classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
18707,0.015,0.005,0,0,s,1000
49890,2.5,1.0,1/A,–,t,1
53907,0.09,0.072,0,0,t,1
98423,4.15,4.97,–,3/A,p,1000
51889,0.082,0.007,0,0,s,1000
56650,0.51,1.52,–,2/A,s,1000
56913,0.095,0.4,–,5/A,s,1000
12356,1.75,0.032,0,0,s,1000
13111,1.68,0.067,0,0,s,1000
66309,21,0,0,0,a,1000
51703,0.059,1.0,–,0,s,1000
11222,0.073,0,0,0,s,1000
59986,0.121,0.38,–,4/A,s,1000
10331,25.3,0,0,0,s,1000
13201,1.01,0.097,0,0,s,1000
40005,22.8,1.0,5/A,–,t,1
68702,5.16,0,0,0,a,1000
47052,2.04,1.0,2/D,–,s,1000
91127,2.12,1.27,0,0,p,1000
46004,26.2,0,0,0,a,1000
59257,0.018,0.008,0,0,s,1000
66561,48.6,0,0,0,a,1000
92451,2.43,2.61,0,0,p,1000
51220,0.31,1.14,0,0,s,1000
92478,1.62,1.92,0,0,p,1000
58397,0.27,0.33,0,0,s,1000
57202,0.084,1.0,–,0,s,1000
10309,0.239,0.018,0,0,s,1000
59482,0.35,0.222,–,5/A,s,1000
51985,0.067,0,0,0,s,1000
18501,1.46,0.018,0,0,s,1000
59481,0.31,0.081,0,0,s,1000
40041,1.0,1.0,0,–,s,1000
92445,2.82,0,0,0,p,1000
91235,2.43,2.48,0,0,p,1000
46914,1.0,1.0,0,–,s,1000
54012,0.043,0,0,0,s,1000
51958,0.28,0.233,0,0,s,1000
99004,3.01,1.74,0,0,p,1000
52343,0.076,1.55,–,1/A,s,1000
95647,2.94,6.43,0,0,p,1000
11214,4.35,0,0,0,s,1000
99165,0.92,2.56,–,4/A,p,1000
57001,0.033,0.03,0,0,s,1000
58561,1.0,1.0,0,0,s,1000
52767,0.187,6.85,–,1/A,s,1000
44111,1.19,0,0,0,o,1000
51333,0.03,0.28,0,0,s,1000
47476,4.14,0,0,0,t,1
57002,0.021,0.061,0,0,s,1000
91507,2.76,3.48,0,0,p,1000
52137,0.069,0.35,–,5/A,s,1000
53403,0.064,0.162,–,2/A,s,1000
47253,1.0,1.0,0,–,t,1
13673,1.37,0.019,0,0,s,1000
45993,0.052,0.104,4/A,1/A,s,1000
15061,0.31,0.116,4/A,3/A,s,1000
91581,1.56,1.72,2/E,1/C,c,1000
97003,0.26,0.208,2/A,2/A,p,1000
98678,15.6,15.1,0,0,p,1000
56040,0.01,0.019,0,0,s,1000
51211,1.0,1.0,0,0,s,1000
15300,0.5,1.0,1/A,–,s,1000
98427,2.48,0,0,0,p,1000
92215,3.5,3.48,0,0,p,1000
11211,14.3,0,0,0,s,1000
15488,0.93,0.92,–,5/A,s,1000
16881,2.41,0.28,–,2/A,s,1000
40031,27.3,1.0,4/A,–,t,1
49239,0.213,0.27,0,0,s,1000
10220,6.96,0,0,0,s,1000
13621,0.138,0.32,0,0,s,1000
91746,3.35,6.43,0,0,p,1000
50011,0.084,1.0,–,0,s,1000
98425,2.89,7.46,–,2/A,p,1000
13412,0.54,1.15,0,0,t,1
92054,0.178,0.27,0,0,p,1000
14734,0.39,0,0,0,s,1000
91324,7.29,1.0,–,0,p,1000
40117,88,1.0,1/A,–,t,1
