highestSquareFootTenant,fireRisk
"Beach Chairs & Umbrellas - warehouses, storage or sales",Low
"Fabric - distributors",Medium
"AC Eqmt - dealers or distributors only - sales &/or storage with or w/o repair",Low
"Airport Control Towers - not operated exclusively by the FAA",Medium
"Health Care Facilities - non-governmental clinics, dispensaries or infirmaries treating outpatients only - no regular bed & board facilities",Low
"Contractors Eqmt - heavy machinery w/o motors over 6 HP - w/o repair",Medium
"Hobby, Craft, Artists Supply - stores or distributors",Low
"Hardware and Tool Distributors & Hardware Stores",Medium
"Motion Pictures - film distribution or exchanges - not located at motion picture studios",Medium
"Secondhand Goods",Medium
"3 or 4 Family Dwellings (Lessor's Risk)",Low
"Offices - non-governmental",Low
"Bakeries - no baking on premises, sales only using cannabis as ingredient",Low
"Clothing Mfg - stores",Medium
"Contractors Storage for:  Farm Machinery, Plumbing (cmcl, industrial, residential, domestic), Refrigeration Eqmt, Solar Energy",Medium
"Fabric - stores",Low
"Water Softening Eqmt - sales &/or storage, no repair",Low
"Florists - sales outlets",Low
"Refrigeration Systems or Eqmt - dealers/distributors - cmcl, sales and storage with or w/o repair",Medium
"2 Family Dwellings (Lessor's Risk)",Low
"Gas Dealers or Distrib - LPG sales & storage",High
"Straw & Straw Products - sales and/or storage",High
"Fuel Dealers or Distributors - coal or wood",High
"Anhydrous Ammonia Dealers & Distributors",High
"Automobile Repair or Service Shops - seat cover padding and trim work or top repair exclusively",Medium
"Communication Eqmt Install - industrial/commercial - sales &/or storage no repair",Low
"Plumbing Supplies & Fixtures Dealers and Distributors",Low
"Gardening & Light Framing Supply Distrib and Retail Dealers",Low
"Floor Covering Stores - carpets",Medium
"Boat and Marine Supply Stores",Low
"Rubber - sales and/or storage - rubber tires",Low
"Tanks - fuel, liquid propane, gas or gasoline dealers tanks",High
"Day Care Centers - child or adult",Low
"Home Health Care Services - non-governmental",Low
"Antique Stores",Medium
"Stores - Bicycle, Books/Magazines, Camera & Photographic Eqmt, Collectibles/Memorabilia, Copying/Duplicating - Retail, Cosmetic, Hair or Skin Prep, Dept or Discount, Dry Goods Dealer - Retail (incl fabric, yarn & piece goods), Gift Shops, Home Improvement, Leather Goods, Luggage Goods, Medical, Hospital & Surgical Supply, Music Instruments, Music (sheet music), Rental, Variety, Wicker, Rattan, Willow & Twisted Fiber Products",Medium
"Home Furnishing Stores - other than appliances",Medium
"Newspaper or Magazine Distributors & Newstands",Low
"Bus Stations or Terminals",Medium
"Mail Order or Online Drugstores",
"Building Structure - raising or moving - contractors storage or sales outlet",Medium
"Boats - canoes or rowboats w/o motors - rental with storage",Low
"Fire Department Dispatch Offices - commercial",High
"Metal Dealers or Distributors - other metal products",High
"Chemical Distributors",High
