protectiveDevice,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
SprinklerSystem,0.98,0.98,1,1,0.98,0.98
3Systems,0.92,0.92,1,1,0.92,0.92
2of3Systems,0.93,0.93,1,1,0.93,0.93
"BurglaryProtectiveSafeguards",0.95,0.95,1,1,0.95,0.95
FireAlarmSystem,0.95,0.95,1,1,0.95,0.95
