classCode,BFrame,BJoistedMasonry,BnonComb,BmasNonComb,BfireRes,CFrame,CjoistedMasonry,CnonComb,CmasNonComb,CfireRes,ABCFrame,ABCJoistedMasonry,ABCNonComb,ABCMasNonComb,ABCFireRes
841,0.21,0.189,0.168,0.137,0.125,0.218,0.197,0.186,0.163,0.154,0,0,0,0,0
843,0.104,0.094,0.083,0.067,0.062,0.112,0.099,0.094,0.083,0.077,0,0,0,0,0
844,0.141,0.127,0.113,0.091,0.084,0.155,0.139,0.132,0.117,0.108,0,0,0,0,0
845,0.092,0.083,0.075,0.061,0.057,0.107,0.096,0.091,0.08,0.075,0,0,0,0,0
846,0.194,0.174,0.155,0.127,0.117,0.192,0.171,0.163,0.143,0.134,0,0,0,0,0
851,0.051,0.045,0.041,0.032,0.03,0.059,0.053,0.05,0.044,0.041,0,0,0,0,0
852,0.052,0.048,0.043,0.034,0.031,0.06,0.054,0.052,0.045,0.043,0,0,0,0,0
900,0.082,0.074,0.065,0.052,0.05,0.087,0.077,0.074,0.064,0.059,0,0,0,0,0
911,0.199,0.179,0.16,0.131,0.12,0.236,0.213,0.2,0.177,0.166,0,0,0,0,0
912,0.264,0.238,0.212,0.171,0.158,0.326,0.293,0.278,0.244,0.227,0,0,0,0,0
913,0.175,0.156,0.139,0.114,0.104,0.204,0.184,0.174,0.153,0.142,0,0,0,0,0
921,0.104,0.093,0.083,0.067,0.063,0.123,0.112,0.105,0.093,0.087,0,0,0,0,0
922,0.115,0.104,0.093,0.075,0.069,0.14,0.127,0.12,0.106,0.099,0,0,0,0,0
923,0.076,0.069,0.062,0.05,0.046,0.083,0.074,0.071,0.062,0.057,0,0,0,0,0
931,0.073,0.066,0.059,0.048,0.043,0.086,0.077,0.073,0.065,0.06,0,0,0,0,0
932,0.104,0.094,0.083,0.067,0.064,0.127,0.115,0.109,0.096,0.09,0,0,0,0,0
933,0.089,0.08,0.07,0.057,0.053,0.112,0.1,0.095,0.083,0.078,0,0,0,0,0
934,0.115,0.103,0.092,0.075,0.069,0.136,0.123,0.116,0.102,0.096,0,0,0,0,0
940,0.056,0.05,0.044,0.037,0.034,0.069,0.063,0.059,0.052,0.049,0,0,0,0,0
951,0.404,0.363,0.324,0.264,0.242,0.447,0.401,0.378,0.335,0.313,0,0,0,0,0
952,0.137,0.123,0.11,0.089,0.082,0.195,0.176,0.167,0.147,0.137,0,0,0,0,0
1000,0.155,0.14,0.124,0.1,0.093,0.138,0.123,0.117,0.103,0.096,0,0,0,0,0
1051,0.098,0.088,0.079,0.064,0.059,0.126,0.115,0.107,0.095,0.088,0,0,0,0,0
1052,0.104,0.093,0.083,0.067,0.062,0.119,0.107,0.101,0.089,0.083,0,0,0,0,0
1070,0.151,0.136,0.122,0.098,0.091,0.179,0.162,0.153,0.134,0.126,0,0,0,0,0
1150,0.066,0.059,0.052,0.043,0.039,0,0,0,0,0,0,0,0,0,0
1211,0.153,0.138,0.122,0.1,0.092,0.179,0.161,0.153,0.134,0.125,0,0,0,0,0
1212,0.121,0.109,0.097,0.078,0.073,0.149,0.134,0.125,0.111,0.104,0,0,0,0,0
1213,0.108,0.096,0.085,0.069,0.065,0.142,0.127,0.121,0.108,0.1,0,0,0,0,0
1220,0.127,0.114,0.101,0.083,0.077,0.155,0.14,0.132,0.117,0.109,0,0,0,0,0
1230,0.109,0.1,0.088,0.072,0.066,0.151,0.135,0.127,0.112,0.105,0,0,0,0,0
1400,0.329,0.296,0.264,0.214,0.197,0.401,0.361,0.34,0.301,0.28,0.498,0,0.052,0,0
1650,0.197,0.177,0.157,0.127,0.117,0.248,0.223,0.212,0.187,0.174,0.138,0,0.018,0,0
1700,0.16,0.144,0.129,0.105,0.096,0.244,0.219,0.207,0.183,0.171,0.134,0,0.017,0,0
1751,0.103,0.093,0.083,0.066,0.062,0.134,0.121,0.114,0.101,0.094,0,0,0,0,0
1752,0.097,0.087,0.077,0.064,0.058,0.096,0.086,0.082,0.072,0.066,0,0,0,0,0
2200,0.388,0.351,0.313,0.255,0.234,0.464,0.417,0.392,0.346,0.326,0,0,0,0,0
2350,0.25,0.226,0.201,0.163,0.151,0.297,0.266,0.25,0.221,0.209,0,0,0,0,0
2459,0.163,0.146,0.129,0.105,0.097,0.209,0.188,0.179,0.159,0.146,0,0,0,0,0
2800,0.196,0.178,0.158,0.128,0.119,0.258,0.233,0.218,0.194,0.182,0,0,0,0,0
3409,0.142,0.128,0.114,0.091,0.085,0.164,0.148,0.14,0.123,0.115,0,0,0,0,0
4809,0.109,0.098,0.087,0.071,0.066,0.132,0.12,0.112,0.099,0.093,0,0,0,0,0
