RoofType,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
Asphalt,1.000,1.000,1.000,1.000,1.000,1.000
Concrete,0.920,0.920,1.000,1.000,0.920,0.920
Glass,1.000,1.000,1.000,1.000,1.000,1.000
Gravel,1.000,1.000,1.000,1.000,1.000,1.000
Metal,0.940,0.940,1.000,1.000,0.940,0.940
Other,1.050,1.050,1.000,1.000,1.050,1.050
Slate,0.900,0.900,1.000,1.000,0.900,0.900
Wood,1.100,1.100,1.000,1.000,1.100,1.100
Other,1.000,1.000,1.000,1.000,1.000,1.000
